filename,functions,first_line,first_byte,last_line,last_byte,first_column,last_column,first_parsed,last_parsed,value
R/build_o_matrix.R,build_o_matrix,10,3,10,73,3,73,20,20,1342
R/build_o_matrix.R,build_o_matrix,13,7,13,22,7,22,13,13,1341
R/build_o_matrix.R,build_o_matrix,14,5,14,19,5,19,24,24,1
R/build_o_matrix.R,build_o_matrix,16,5,16,48,5,48,26,26,1340
R/build_o_matrix.R,build_o_matrix,17,5,17,27,5,27,27,27,1340
R/build_o_matrix.R,build_o_matrix,18,5,18,39,5,39,28,28,1340
R/build_o_matrix.R,build_o_matrix,19,5,19,32,5,32,29,29,1340
R/build_o_matrix.R,build_o_matrix,20,5,20,20,5,20,30,30,1340
R/build_o_matrix.R,build_o_matrix,21,5,21,27,5,27,31,31,1340
R/build_o_matrix.R,build_o_matrix,22,5,22,9,5,9,32,32,1340
R/env_data_array.R,env_data_array,19,3,19,85,3,85,68,68,8
R/env_data_array.R,env_data_array,20,3,20,72,3,72,69,69,7
R/env_data_array.R,env_data_array,23,7,23,19,7,19,23,23,7
R/env_data_array.R,env_data_array,25,5,26,81,5,81,74,75,3
R/env_data_array.R,env_data_array,27,5,27,62,5,62,76,76,2
R/env_data_array.R,env_data_array,29,9,29,29,9,29,29,29,2
R/env_data_array.R,env_data_array,30,7,35,7,7,7,79,84,1
R/env_data_array.R,env_data_array,36,7,36,49,7,49,85,85,1
R/env_data_array.R,env_data_array,38,7,40,18,7,18,87,89,1
R/env_data_array.R,env_data_array,39,9,39,56,9,56,88,88,2
R/env_data_array.R,env_data_array,41,7,43,24,7,24,90,92,1
R/env_data_array.R,env_data_array,42,9,42,72,9,72,91,91,2
R/env_data_array.R,env_data_array,44,7,44,58,7,58,93,93,1
R/env_data_array.R,env_data_array,45,7,45,54,7,54,94,94,1
R/env_data_array.R,env_data_array,50,9,50,29,9,29,50,50,4
R/env_data_array.R,env_data_array,51,7,51,59,7,59,100,100,1
R/env_data_array.R,env_data_array,52,7,52,49,7,49,101,101,1
R/env_data_array.R,env_data_array,54,7,56,18,7,18,103,105,3
R/env_data_array.R,env_data_array,55,9,55,42,9,42,104,104,6
R/env_data_array.R,env_data_array,57,7,59,24,7,24,106,108,3
R/env_data_array.R,env_data_array,58,9,58,72,9,72,107,107,6
R/env_data_array.R,env_data_array,60,7,60,54,7,54,109,109,3
R/env_data_array.R,env_data_array,62,7,62,45,7,45,111,111,3
R/env_data_array.R,env_data_array,65,3,65,16,3,16,114,114,6
R/expit_general.R,expit_general,15,3,15,30,3,30,167,167,7
R/expit_general.R,expit_general,16,3,16,36,3,36,168,168,6
R/expit_general.R,expit_general,17,3,17,36,3,36,169,169,5
R/expit_general.R,expit_general,18,3,18,61,3,61,170,170,5
R/expit_general.R,expit_general,19,3,19,25,3,25,171,171,5
R/expit_general.R,expit_general,20,3,20,26,3,26,172,172,5
R/expit_general.R,expit_general,21,3,21,5,3,5,173,173,5
R/expit.R,expit,14,3,14,30,3,30,147,147,1343
R/expit.R,expit,15,3,15,30,3,30,148,148,1342
R/expit.R,expit,16,3,16,19,3,19,149,149,1342
R/expit.R,expit,17,3,17,5,3,5,150,150,1342
R/get_range_df.R,get_range_df,12,3,12,83,3,83,187,187,4
R/get_range_df.R,get_range_df,13,3,13,61,3,61,188,188,4
R/get_range_df.R,get_range_df,15,3,15,22,3,22,190,190,4
R/get_range_df.R,get_range_df,18,3,22,3,3,3,193,197,4
R/get_range_df.R,get_range_df,24,3,24,20,3,20,199,199,4
R/get_range_df.R,get_range_df,26,3,26,17,3,17,201,201,4
R/get_range_df.R,get_range_df,27,3,27,28,3,28,202,202,4
R/get_range_df.R,get_range_df,28,3,28,38,3,38,203,203,4
R/get_range_df.R,get_range_df,29,3,29,42,3,42,204,204,4
R/get_range_df.R,get_range_df,30,3,30,46,3,46,205,205,4
R/get_range_df.R,get_range_df,31,3,31,26,3,26,206,206,4
R/get_range_df.R,get_range_df,33,3,33,50,3,50,208,208,4
